offering_id,hotel,city,avg_rating,sentiment_score,pros,cons,n_reviews
AV0v_OlQLD2H7whiZv_5,Hampton Inn Ashtabula,Austinburg,4.0,0.75,"['clean rooms', 'friendly staff', 'location', 'food']",[],1
AV12lRqCa4HuVbed9qLQ,Hampton Inn and Suites Baltimore Inner Harbor,Baltimore,4.2269,0.8067,"['location', 'food', 'friendly staff', 'comfortable', 'value', 'clean rooms']",['cleanliness'],39
AV1TpZ3j3D1zeR_xEwq3,Homewood Suites by Hilton Baltimore,Baltimore,4.01,0.7525,"['food', 'friendly staff', 'location', 'comfortable', 'value', 'clean rooms']",['slow wifi'],15
AV1Ts51FLD2H7whiaPkN,Primrose Motel,Denver,5.0,1.0,['good wifi'],[],1
AV1XW5K3-gnIPe8DWvlR,Frederick Hotel Cafe,Loup City,4.0,0.75,[],[],1
AV1b9RLTLD2H7whiajc2,Best Western Plus Classic Inn Suites,Center,4.0,0.75,['location'],[],1
AV1b9aye-gnIPe8DXEvo,Courtyard Richland Columbia Point,Richland,3.3333,0.5833,"['clean rooms', 'friendly staff', 'view']",['small rooms'],3
AV1c2L3Aa4HuVbed5hnF,Courtyard by Marriott Westbury Long Island,Westbury,5.0,1.0,"['clean rooms', 'friendly staff', 'location']",[],1
AV1c4fcP3-Khe5l_MBlT,The Oaks Hotel,Paso Robles,4.6667,0.9167,"['friendly staff', 'food', 'comfortable', 'clean rooms']",[],3
AV1c4vmma4HuVbed5sdh,Browns Hill Tavern Motel,Mill Hall,4.0,0.75,['food'],[],1
AV1c7KRqRxPSIh2RY4wt,Hangar Hotel,Fredericksburg,5.0,1.0,['view'],[],1
AV1c84h8a4HuVbed5_Jy,Hampton Inn and Suites Williamsburg-Central,Williamsburg,4.2023,0.8006,"['friendly staff', 'clean rooms', 'comfortable', 'food', 'location']",['noisy rooms'],22
AV1c89jw3-Khe5l_MVmh,Hilton Garden Inn Williamsburg,Williamsburg,4.065,0.7662,"['comfortable', 'clean rooms', 'friendly staff', 'food', 'value', 'location']","['expensive', 'noisy rooms', 'small rooms']",10
AV1c_eI-3-Khe5l_MeAr,Days Inn Savannah,Savannah,4.0,0.75,"['clean rooms', 'friendly staff', 'location', 'comfortable', 'food']",[],1
AV1dAdj93-Khe5l_Mf_H,Luray Caverns Motel East,Luray,3.0,0.5,[],[],1
AV1dN3FM3-Khe5l_Ml9i,Central Park Hotel,Benton,5.0,1.0,[],[],1
AV1duqYRRxPSIh2RZeyw,Best Western Executive Inn Suites,Grand Rapids,4.0,0.75,"['clean rooms', 'friendly staff', 'comfortable']",[],1
AV1dx8MuIxWefVJwfODu,Landmark Hotel,Tidioute,5.0,1.0,"['friendly staff', 'food']",[],1
AV1eR9no3-Khe5l_NC5U,Siesta Motel,Newington,3.0,0.5,[],['noisy rooms'],1
AV1eS2suRxPSIh2RZ3G4,Best Western Plus Ruidoso Inn,Ruidoso,4.5,0.875,"['location', 'comfortable', 'good wifi', 'clean rooms', 'friendly staff', 'food']",['slow wifi'],2
AV1eS84ia4HuVbed6uqW,Best Western Sunland Park Inn,El Paso,4.0,0.75,"['friendly staff', 'food']",['noisy rooms'],1
AV1eS_1iIxWefVJwfbSC,Best Western Of Alexandria Inn & Suites & Conference Center,Alexandria,3.0,0.5,[],['slow wifi'],1
AV1eSnM6RxPSIh2RZ2UW,American Inn,Elko,4.0,0.75,['clean rooms'],[],1
AV1eSqqi3-Khe5l_ND9X,Americas Best Value Inn & Suites Canon City,Cañon City,4.0,0.75,['comfortable'],['cleanliness'],2
AV1eSrxWa4HuVbed6uJA,Americas Best Value Inn - Medical Center / Lubbock,Lubbock,1.0,0.0,[],['cleanliness'],1
AV1eSw2K3-Khe5l_NEJM,Best Western Sawmill Inn,Heber,5.0,1.0,"['clean rooms', 'friendly staff', 'food']",[],1
AV1eSxIH3-Khe5l_NEKD,Americas Best Value Inn Pryor,Pryor,3.5,0.625,"['clean rooms', 'comfortable', 'good wifi']","['slow wifi', 'small rooms']",2
AV1eT2MnRxPSIh2RZ5aK,Best Western Inn Suites,Ontario,5.0,1.0,"['clean rooms', 'friendly staff', 'comfortable', 'food']",[],1
AV1eT2tx3-Khe5l_NHdo,Anglers Inn,Ashton,2.0,0.25,[],"['cleanliness', 'broken']",1
AV1eT4k_RxPSIh2RZ5gv,Aloft Philadelphia Downtown,Philadelphia,5.0,1.0,"['friendly staff', 'location', 'comfortable', 'clean rooms', 'view', 'food']",[],16
AV1eTBB-RxPSIh2RZ3tP,Blue Gentian Lodge,Londonderry,5.0,1.0,"['friendly staff', 'comfortable', 'food']",[],1
AV1eTGPGa4HuVbed6vEI,Apple Tree Inn,Indianola,3.0,0.5,[],[],1
AV1eTHJWa4HuVbed6vFu,Austria Haus Hotel,Vail,4.8889,0.9722,"['location', 'friendly staff', 'food', 'clean rooms', 'good wifi', 'comfortable']",[],9
AV1eTNWV3-Khe5l_NFXP,Americas Best Value Inn Suburban Motel,Emmetsburg,4.0,0.75,"['clean rooms', 'friendly staff']",['broken'],1
AV1eTRlWa4HuVbed6vvx,Bricco Suites,Boston,5.0,1.0,"['clean rooms', 'food', 'location']",[],2
AV1eTUww3-Khe5l_NFwQ,Best Western Plus Vermilion River Suites Hotel,Lafayette,5.0,1.0,"['clean rooms', 'friendly staff']",[],1
AV1eTVLfa4HuVbed6v61,Best Western Plus Williston Hotel & Suites,Williston,5.0,1.0,"['clean rooms', 'friendly staff', 'food']",[],1
AV1eTXQF3-Khe5l_NF6Q,The James New York – NoMad,New York,5.0,1.0,['friendly staff'],[],1
AV1eTa3XRxPSIh2RZ4g9,Candlewood Suites Somerset,Somerset,2.6,0.4,[],"['broken', 'cleanliness']",5
AV1eTehKIxWefVJwfcQ-,Chalet Motel,Bend,4.0,0.75,"['clean rooms', 'value']",[],1
AV1eThnNa4HuVbed6wos,Comfort Inn South,Kingsport,5.0,1.0,"['clean rooms', 'friendly staff', 'location', 'comfortable', 'food']",[],1
AV1eTj86IxWefVJwfccW,Comfort Suites,Danville,5.0,1.0,"['clean rooms', 'friendly staff', 'location', 'food']",[],1
AV1eTjxva4HuVbed6wwd,Comfort Inn Suites,Red Oak,4.0,0.75,"['clean rooms', 'friendly staff', 'location', 'food']",[],1
AV1eToleIxWefVJwfcob,Best Western Plus-portage Hotel & Suites,Portage,4.0,0.75,['comfortable'],[],1
AV1eTzDua4HuVbed6xdm,Comfort Inn Corydon,Corydon,4.0,0.75,"['clean rooms', 'friendly staff', 'food']",[],1
AV1eUAKnIxWefVJwfdbu,Best Western Plus Swiss Chalet Hotel Suites,Pecos,5.0,1.0,"['friendly staff', 'comfortable', 'food']",[],1
AV1eUB93RxPSIh2RZ522,Comfort Suites,Rensselaer,5.0,1.0,['friendly staff'],[],1
AV1eUGWzRxPSIh2RZ6CZ,Best Western Marble Falls Inn,Marble Falls,4.0,0.75,"['friendly staff', 'good wifi']",['slow wifi'],1
AV1eUgT83-Khe5l_NIvH,Wingate by Wyndham - Joliet,Joliet,5.0,1.0,"['friendly staff', 'food']",[],1
AV1ebL3qRxPSIh2RZ9Z4,Embassy Suites by Hilton Philadelphia - Center City,Philadelphia,4.0,0.75,"['clean rooms', 'friendly staff', 'location', 'view']",[],1
AV1flIFgIxWefVJwfjV0,Courtyard by Marriott Sioux Falls,Sioux Falls,4.0,0.75,"['clean rooms', 'comfortable']",['small rooms'],1
AV1flKIERxPSIh2RZ_qT,Days Inn-ellis,Ellis,4.0,0.75,"['clean rooms', 'comfortable']",['small rooms'],2
AV1fldKOIxWefVJwfjqX,Best Western Tolleson Hotel,Tolleson,5.0,1.0,"['clean rooms', 'friendly staff', 'comfortable']",[],1
AV1flj1e3-Khe5l_NQb1,Best Western Riverside Inn,Danville,4.0,0.75,['friendly staff'],[],1
AV1fluZq3-Khe5l_NQfY,Comfort Inn Midtown,Tulsa,4.0,0.75,"['clean rooms', 'comfortable', 'food']",[],1
AV1flwEc3-Khe5l_NQgC,Days Inn Columbus Airport,Columbus,5.0,1.0,[],[],1
AV1flynma4HuVbed66sW,Crossland Economy Studios Tacoma - Puyallup,Puyallup,5.0,1.0,"['clean rooms', 'friendly staff']",[],1
AV1h3NPca4HuVbed7eU8,"Pier 5 Hotel Baltimore, Curio Collection by Hilton",Baltimore,4.205,0.8012,"['friendly staff', 'location', 'comfortable', 'food', 'clean rooms', 'view']","['noisy rooms', 'broken', 'cleanliness', 'expensive']",40
AV1ha6JpIxWefVJwgDSa,The Westin Chicago River North,Chicago,4.5929,0.8982,"['location', 'comfortable', 'view', 'food', 'friendly staff', 'clean rooms']",[],14
AV1js0xi3-Khe5l_OFPG,"The Brookshire Suites Inner Harbor, BW Premier Collection",Baltimore,3.9062,0.7266,"['location', 'friendly staff', 'clean rooms', 'comfortable', 'food']","['broken', 'noisy rooms', 'cleanliness']",32
AV1tfpa83-Khe5l_Okjr,Grant House Hotel Eatery,Rush City,5.0,1.0,"['friendly staff', 'food']",[],1
AV1tg0O0IxWefVJwg_hX,Hilltop Motel,Newcastle,4.0,0.75,"['clean rooms', 'friendly staff', 'good wifi']","['slow wifi', 'small rooms']",1
AV1tg3ASRxPSIh2Rbbgq,Hampton Inn Suites Cincinnati/Uptown-University Area,Cincinnati,4.0,0.75,"['clean rooms', 'friendly staff', 'comfortable', 'food']",[],1
AV1tg8DXIxWefVJwhAU2,Pacific Inn,Anaheim,2.0,0.25,[],['cleanliness'],1
AV1tg8laIxWefVJwhAYd,Hampton Inn Knoxville/Clinton I-75,Clinton,5.0,1.0,"['clean rooms', 'friendly staff', 'food']",[],1
AV1tg9hD3-Khe5l_OtaK,Radisson Hotel Freehold,Freehold,4.2778,0.8194,"['clean rooms', 'comfortable', 'location', 'food', 'friendly staff', 'value']","['rude staff', 'noisy rooms']",18
AV1tgSS_3-Khe5l_Oo_Q,Kafka's Resort,Rhinelander,4.0,0.75,['clean rooms'],[],1
AV1tgZ7ca4HuVbed8TZK,"Super 8 Fairview Heights, St. Louis",Fairview Heights,3.0,0.5,[],[],1
AV1tgeDbRxPSIh2RbY6f,Hampton Inn Carrollton,Carrollton,3.0,0.5,[],[],1
AV1tgeI43-Khe5l_OqL5,Vail Racquet Club Mountain Resort,Vail,5.0,1.0,['friendly staff'],[],1
AV1tgf5nIxWefVJwg9W3,Residence Inn Cincinnati Airport,Erlanger,2.0,0.25,[],[],1
AV1tgk9i3-Khe5l_Oq36,Hampton Inn Indianola,Indianola,5.0,1.0,"['clean rooms', 'friendly staff', 'location', 'comfortable']",[],1
AV1th1nJIxWefVJwhEJj,Quality Inn,Decatur,5.0,1.0,"['clean rooms', 'friendly staff', 'food']",[],1
AV1th24t3-Khe5l_OxHY,Rodeway Inn,Rawlins,1.0,0.0,[],['cleanliness'],1
AV1th4WFRxPSIh2Rbf9f,Hampton Inn Oxford,Oxford,5.0,1.0,['clean rooms'],[],1
AV1thPkIRxPSIh2Rbd0g,Economy Inn,Chattanooga,1.0,0.0,[],[],1
AV1thRNIIxWefVJwhCPm,Hampton Inn Galax,Galax,5.0,1.0,"['comfortable', 'food']",[],1
AV1thYQqIxWefVJwhCq5,Quality Inn Suites At Olympic National Park,Sequim,5.0,1.0,"['friendly staff', 'location', 'comfortable', 'food']",[],1
AV1thbpR3-Khe5l_Ovyh,Quality Inn Colchester - Burlington,Colchester,3.0,0.5,[],[],1
AV1thf33RxPSIh2Rbey9,Hampton Inn Roanoke/Hollins - I-81,Roanoke,4.0,0.75,"['clean rooms', 'location', 'food']",[],1
AV1thiDE3-Khe5l_OwIo,Travel Inn,Ridgecrest,3.0,0.5,[],[],1
AV1tiALd3-Khe5l_OxeJ,Drury Inn Suites San Antonio North Stone Oak,San Antonio,4.0,0.75,"['clean rooms', 'friendly staff', 'comfortable', 'food', 'value']",[],1
AV1tiFF63-Khe5l_OxpE,Downsville Motel,Downsville,4.0,0.75,"['clean rooms', 'location']",[],1
AV1tiXLJ3-Khe5l_OyVc,Hampton Inn & Suites Altoona-des Moines,Altoona,5.0,1.0,"['friendly staff', 'location', 'food']",[],1
AV23rYbbIxWefVJwjO4a,Best Western Plus Lake Front Hotel,Moses Lake,4.4167,0.8542,"['food', 'friendly staff', 'view', 'comfortable', 'location', 'clean rooms']","['broken', 'small rooms']",12
AV3O9oECIxWefVJwjraT,The Pearl Hotel,New York,5.0,1.0,"['clean rooms', 'friendly staff', 'location', 'comfortable', 'food']",[],1
AV430t4ua4HuVbed_8GY,Hampton Inn & Suites St. Louis/South I-55,Saint Louis,5.0,1.0,"['clean rooms', 'friendly staff', 'comfortable', 'food', 'good wifi']",[],2
AV43XxGTIxWefVJwkpQ0,Quality Inn Midway Airport,Chicago,5.0,1.0,"['clean rooms', 'friendly staff', 'comfortable', 'food']",[],1
AV46zijca4HuVbedAGzh,Hampton Inn & Suites Bradenton Downtown Historic District,Bradenton,5.0,1.0,"['friendly staff', 'location', 'food']",[],1
AV486Nm5RxPSIh2RfwCY,SpringHill Suites by Marriott Virginia Beach Oceanfront,Virginia Beach,4.1429,0.7857,"['location', 'friendly staff', 'food', 'comfortable', 'clean rooms', 'view']","['broken', 'expensive']",21
AV488Rmya4HuVbedAaeG,"Bluegreen Vacations Patrick Henry Sqr, Ascend Resort Collection",Williamsburg,4.5214,0.8804,"['location', 'clean rooms', 'comfortable', 'friendly staff', 'value']",[],7
AV48ic48a4HuVbedAUNM,"The Virginian Suites, an Ascend Hotel Collection Member",Arlington,4.0814,0.7703,"['friendly staff', 'location', 'comfortable', 'clean rooms', 'value', 'food']","['small rooms', 'broken', 'slow wifi', 'cleanliness', 'expensive']",86
AV4zBlFx3-Khe5l_SI6V,Fairfield Inn & Suites by Marriott Key West at The Keys Collection,Key West,4.3,0.825,"['food', 'clean rooms', 'friendly staff', 'location', 'comfortable', 'value']","['broken', 'small rooms', 'expensive', 'slow wifi']",20
AV50HD7R3-Khe5l_WcdI,Central Park West Hostel,New York,2.0,0.25,[],"['slow wifi', 'cleanliness', 'small rooms', 'broken']",1
AV5Z9iNcRxPSIh2RjJ-v,Red Roof Inn & Suites Muskegon Heights,Muskegon,2.5455,0.3864,"['comfortable', 'location', 'value', 'friendly staff']",['cleanliness'],11
AV6ZfnuiRxPSIh2RlHtM,Quality Inn & Suites,Atlanta,1.0,0.0,[],['broken'],1
AV6a8cTwIxWefVJwqvv4,The London West Hollywood at Beverly Hills,West Hollywood,4.0,0.75,"['view', 'food']",['expensive'],1
AV7aroJkIxWefVJwrHnU,Sheraton Portland Airport Hotel,Portland,3.9444,0.7361,"['friendly staff', 'comfortable', 'location']","['expensive', 'noisy rooms', 'small rooms']",9
AV_2L3v1RxPSIh2RoCSt,Home2 Suites by Hilton Florence Cincinnati Airport South,Florence,5.0,1.0,"['location', 'food']",[],1
AV_JW7Jp3-Khe5l_ZkCd,WoodSpring Suites Virginia Beach,Virginia Beach,3.35,0.5875,[],[],1
AVwc-2C-ByjofQCxkRUw,Top's Motel,Heyburn,3.0,0.5,['good wifi'],"['slow wifi', 'broken']",2
AVwc-6nWIN2L1WUfq_Rx,Grand Imperial Hotel,Silverton,4.1667,0.7917,"['friendly staff', 'value', 'clean rooms', 'comfortable']",['broken'],6
AVwc-7e9ByjofQCxkSN3,Comfort Inn I-10 West at 51st Ave,Phoenix,4.0,0.75,"['location', 'comfortable']",[],3
AVwc-HjcByjofQCxkKD_,Hyatt Regency-valencia,Valencia,3.5556,0.6389,"['friendly staff', 'location', 'clean rooms', 'food', 'view']","['noisy rooms', 'rude staff']",9
AVwc-JwIIN2L1WUfq3r-,Quality Inn,Monroe,2.5,0.375,"['comfortable', 'food']",['slow wifi'],2
AVwc-NsU_7pvs4fz06Ky,Cooper Hill Inn,East Dover,5.0,1.0,"['friendly staff', 'food']",[],1
AVwc-U9c_7pvs4fz07ST,"Home2 Suites by Hilton Erie, PA",Erie,3.7143,0.6786,"['friendly staff', 'comfortable', 'food', 'good wifi', 'location', 'clean rooms']",['broken'],7
AVwc-UVS_7pvs4fz07J4,Honua Kai Resort Spa,Lahaina,4.404,0.851,"['friendly staff', 'view', 'location', 'food', 'comfortable', 'clean rooms']","['broken', 'cleanliness', 'expensive', 'small rooms', 'noisy rooms']",99
AVwc-W5uIN2L1WUfq5sp,Staybridge Suites Rockford,Rockford,4.6667,0.9167,"['friendly staff', 'clean rooms', 'food']",[],3
AVwc-bXxkufWRAb50_g9,Hotel Sausalito,Sausalito,4.2857,0.8214,"['location', 'friendly staff', 'comfortable', 'view', 'clean rooms', 'food']","['small rooms', 'noisy rooms', 'expensive']",7
AVwc-pYckufWRAb51B78,The Cub Motel,Cosby,3.75,0.6875,"['clean rooms', 'comfortable', 'value', 'view']",['cleanliness'],4
AVwc-sD2IN2L1WUfq9BD,Best Western Plus Midwest Inn Suites,Salina,4.3333,0.8333,"['friendly staff', 'food', 'clean rooms', 'location', 'comfortable']",['small rooms'],6
AVwc-wvKkufWRAb51DD3,Americas Best Value Inn - Greeley/Evans,Evans,1.0,0.0,[],['cleanliness'],1
AVwc03Tk_7pvs4fzzYKK,Drury Inn Suites Sikeston,Sikeston,5.0,1.0,"['food', 'friendly staff', 'clean rooms']",[],2
AVwc0A7KByjofQCxidZX,Hampton Inn & Suites Dickinson,Dickinson,5.0,1.0,[],[],1
AVwc0FWTkufWRAb5zTC1,Halcyon Hotel,San Francisco,1.0,0.0,[],[],1
AVwc0GB9IN2L1WUfpLnq,Aloft Jacksonville Tapestry Park,Jacksonville,4.8,0.95,"['friendly staff', 'location', 'food', 'clean rooms', 'comfortable', 'good wifi']","['slow wifi', 'small rooms']",5
AVwc0KG7_7pvs4fzzQPi,Blue Sands Motel,Santa Barbara,4.6667,0.9167,"['friendly staff', 'comfortable', 'clean rooms', 'location', 'value']",['noisy rooms'],3
AVwc0O3SIN2L1WUfpNXr,Days Inn & Suites Milwaukee Airport,Milwaukee,2.375,0.3438,"['clean rooms', 'friendly staff', 'location', 'food']","['small rooms', 'broken', 'rude staff', 'cleanliness']",8
AVwc0k5lIN2L1WUfpRI-,Hampton Inn Suites Orangeburg,Orangeburg,5.0,1.0,"['friendly staff', 'comfortable', 'clean rooms', 'location', 'food']",[],3
AVwc0od1kufWRAb5zZEu,Best Western Plus Mid Nebraska Inn & Suites,Kearney,5.0,1.0,"['friendly staff', 'comfortable', 'clean rooms', 'food', 'location', 'value']",[],3
AVwc0qs5_7pvs4fzzV6q,Residence Inn Sacramento Airport Natomas,Sacramento,4.0,0.75,"['clean rooms', 'location', 'comfortable', 'food', 'friendly staff']",[],3
AVwc0wA9ByjofQCximI_,Hiway House Motel,Albuquerque,3.5,0.625,"['friendly staff', 'food', 'value']",['expensive'],2
AVwc0xPhkufWRAb5zau2,Comfort Inn Suites,Santee,3.6667,0.6667,['location'],['rude staff'],3
AVwc0xpykufWRAb5zazh,Copperleaf Hotel,Appleton,4.5,0.875,"['friendly staff', 'clean rooms', 'food']",[],2
AVwc10FFIN2L1WUfpeN7,Quality Inn,Lake Elsinore,4.0,0.75,"['clean rooms', 'friendly staff', 'comfortable', 'food']",['small rooms'],3
AVwc140q_7pvs4fzziCB,Sea Shore Motel,Santa Monica,4.6667,0.9167,"['location', 'friendly staff', 'clean rooms', 'good wifi', 'comfortable', 'value']","['expensive', 'slow wifi']",9
AVwc15Vm_7pvs4fzziHL,Solstice Motorcoach Resort,Mesquite,3.0,0.5,[],[],1
AVwc17-JByjofQCxiydp,Residence Inn Portland North / Vancouver,Vancouver,4.6667,0.9167,"['friendly staff', 'food']",[],3
AVwc199IkufWRAb5zmWw,The Dunes On The Waterfront,Ogunquit,5.0,1.0,"['friendly staff', 'location', 'view']",[],2
AVwc1BxfIN2L1WUfpWQh,Hyatt Place Dallas/Las Colinas,Irving,4.4444,0.8611,"['friendly staff', 'comfortable', 'food', 'clean rooms', 'value']",['slow wifi'],9
AVwc1F3fIN2L1WUfpW5-,Inn At The 5th,Eugene,5.0,1.0,"['comfortable', 'friendly staff', 'value', 'location', 'view', 'food']",[],6
AVwc1FvUByjofQCxipvD,Fairfield Inn Suites Austin-University Area,Austin,4.0,0.75,"['clean rooms', 'friendly staff', 'food', 'value']",[],1
AVwc1J2HkufWRAb5zedV,Best Western Harker Heights,Harker Heights,3.0,0.5,[],['rude staff'],1
AVwc1J5lByjofQCxiqZT,Comfort Suites At Eglin Air Force Base,Niceville,4.8,0.95,"['food', 'clean rooms', 'friendly staff', 'comfortable', 'value']",[],5
AVwc1MzvkufWRAb5ze8e,Homewood Suites by Hilton Austin Arboretum / NW,Austin,5.0,1.0,"['friendly staff', 'food', 'comfortable', 'location', 'clean rooms']",[],8
AVwc1O06_7pvs4fzzbzB,Six South St Hotel,Hanover,4.5,0.875,"['clean rooms', 'friendly staff', 'location', 'comfortable']",[],2
AVwc1VAjByjofQCxisUh,Residence Inn Baltimore BWI Airport,Linthicum Heights,5.0,1.0,"['clean rooms', 'friendly staff', 'food']",[],1
AVwc1YAxByjofQCxisyY,La Quinta Inn Suites San Antonio Northwest,San Antonio,4.2,0.8,"['clean rooms', 'friendly staff', 'comfortable', 'food', 'location']",['noisy rooms'],5
AVwc1ZBeByjofQCxis-2,Holiday Inn Express & Suites Florence I-95 & I-20 Civic Ctr,Florence,4.6,0.9,"['food', 'clean rooms', 'friendly staff', 'comfortable', 'location']",[],5
AVwc1d-ckufWRAb5zhtw,Historic Hotel Bethlehem,Bethlehem,4.0,0.75,['friendly staff'],[],1
AVwc1kVk_7pvs4fzzfDE,Hotel Sutter,Sutter Creek,4.0,0.75,"['friendly staff', 'food']","['slow wifi', 'small rooms']",4
AVwc1q6iIN2L1WUfpc6x,Days Inn Princeton,Princeton,1.5,0.125,[],[],2
AVwc1t-FkufWRAb5zkAS,Americas Best Value Inn-east Syracuse,East Syracuse,3.6667,0.6667,"['clean rooms', 'friendly staff', 'comfortable']",[],3
AVwc252WIN2L1WUfpqLP,Rancho Valencia Resort Spa,Rancho Santa Fe,5.0,1.0,['friendly staff'],[],3
AVwc26VbByjofQCxi9HV,Comfort Suites,Augusta,3.75,0.6875,"['location', 'friendly staff', 'food', 'comfortable']",[],4
AVwc2FDh_7pvs4fzzkAr,Hampton Inn & Suites New Albany Columbus,New Albany,5.0,1.0,"['clean rooms', 'friendly staff', 'location', 'comfortable']",[],1
AVwc2GJ4IN2L1WUfphVS,Hilton Garden Inn Lincoln Downtown Haymarket,Lincoln,4.0,0.75,"['clean rooms', 'location']",['cleanliness'],2
AVwc2Ih4ByjofQCxi0n1,Best Western-valencia Inn,Valencia,3.5,0.625,"['clean rooms', 'comfortable', 'location', 'food']",['noisy rooms'],4
AVwc2L3JByjofQCxi1LD,Four Points By Sheraton Charlotte-pineville,Pineville,4.5,0.875,"['friendly staff', 'clean rooms', 'comfortable']",[],2
AVwc2TYnByjofQCxi2dW,Budget Inn,Watkins Glen,1.5,0.125,[],"['noisy rooms', 'broken', 'cleanliness']",2
AVwc2Til_7pvs4fzzmhS,Econo Lodge Inn and Suites,Dickson,3.0,0.5,[],[],1
AVwc2U28ByjofQCxi2vA,Best Western Inn & Suites At Discovery Kingdom,Vallejo,3.2857,0.5714,"['friendly staff', 'comfortable', 'food', 'value', 'clean rooms']","['cleanliness', 'broken', 'slow wifi']",7
AVwc2UTzIN2L1WUfpjyU,Holiday Inn Express & Suites Lakeland North - I-4,Lakeland,5.0,1.0,"['clean rooms', 'food', 'friendly staff', 'location', 'value']",[],3
AVwc2VrtByjofQCxi25D,Enchanted Isle Resort,Hollywood,4.0,0.75,"['location', 'friendly staff']",[],2
AVwc2Wn-ByjofQCxi3DK,Grand Hyatt Kauai Resort & Spa,Koloa,4.4815,0.8704,"['friendly staff', 'location', 'view', 'food', 'value', 'comfortable']","['expensive', 'broken', 'slow wifi']",27
AVwc2_cd_7pvs4fzzttM,Holiday Inn Express Prince Frederick,Prince Frederick,3.7727,0.6932,"['friendly staff', 'food', 'clean rooms', 'location', 'comfortable', 'value']","['broken', 'small rooms', 'slow wifi', 'rude staff']",22
AVwc2hH0ByjofQCxi40F,Residence Inn Springfield South,Springfield,5.0,1.0,['friendly staff'],[],1
AVwc2mIrIN2L1WUfpm46,Chebeague Island Inn,Chebeague Island,4.0,0.75,['comfortable'],['broken'],1
AVwc2mYbIN2L1WUfpm8c,Hotel Galaxy,Las Vegas,3.0,0.5,[],[],1
AVwc2oVH_7pvs4fzzp_D,Pomaika'i Lucky Farm BB,Captain Cook,3.0,0.5,['clean rooms'],[],2
AVwc2qWJIN2L1WUfpnng,Hampton Inn & Suites Springfield/Downtown,Springfield,4.75,0.9375,"['friendly staff', 'food', 'clean rooms', 'comfortable', 'good wifi', 'value']",[],4
AVwc2rCTkufWRAb5zt6J,Oxford Suites Redding,Redding,4.5385,0.8846,"['friendly staff', 'food', 'comfortable', 'clean rooms', 'location', 'good wifi']",['small rooms'],13
AVwc2s2QkufWRAb5zuMI,The Lodge at Pebble Beach,Pebble Beach,4.75,0.9375,"['friendly staff', 'food', 'view']",[],4
